Hardware,Pandas: join (average),Pandas: pivot,LightGBM,Tensorflow: CNN (per epoch),TensorFlow: CycleGAN (per epoch)
"2021 14-inch MacBook Pro M1 Pro 8-core CPU, 14-core GPU, 16 GB RAM (base model)",5.28085070848465,9.677202939987183,25.78994,6.056243419647217,453.32935855388644
"2021 14-inch MacBook Pro M1 Pro 10-core, CPU 16-core GPU 16, GB RAM",5.39082318544388,12.9256782531738,21.97800,5.6188251574834185,410.655284261704
"2020 MacBook Air M1 8-core CPU, 7-core GPU, 8 GB RAM (base model)",9.792904376983643,21.735999822616577,28.63853,9.34377670288086,906
"2020 MacBook Air M1 8-core CPU, 8-core GPU, 16 GB RAM",4.733178913593292,10.09513807296753,27.61566,8.533290088176727,732.7966481924057
"2019 16-inch MacBook Pro Intel i7 6-core CPU 16 GB RAM",11.952781915664673,23.827736854553223,34.46615,23.01214689016342,1605.8405574321746
"2013 13-inch MacBook Pro Intel i5 2-core CPU 8 GB RAM",42.31952291727066,37.55607771873474,127.06900,97.00966066122055,
